Name,Price,Seller,Image
Laptop Acer Nitro AN515-58-773Y i7-12700H/8GB/512GB/Win11 (NH.QFKSV.001) - Hàng chính hãng,26990000,Nguyễn Kim Official,https://salt.tikicdn.com/cache/280x280/ts/product/19/f2/d0/4dbb2337e8f44b38e0c100565c9a04b6.jpg
Laptop HP Victus 16-d1185TX 7C0S3PA (i7-12700H | 16GB | 512GB | GeForce RTX 3060 6GB | 16.1' FHD 144Hz | Win 11) Hàng chính hãng,37990000,Hangchinhhieu(TP.HCM),https://salt.tikicdn.com/cache/280x280/ts/product/ff/c5/d7/9aabbaf2a559f987e5128d3293e82932.jpg
"Bàn Phím Cơ Gaming Deli VS788 PRO LED RGB Chế Độ Nháy Cực Đẹp Khác Nhau, Phím Cơ Gõ Siêu Đã, Thiết Kế Nhỏ Gọn Tương Thích Với Laptop, PC, Máy Tính, Kiểu Dáng Gamer Game Thủ eSport Bàn Phím Văn Phòng - Hàng Chính Hãng",439000,Deli Official Store,https://salt.tikicdn.com/cache/280x280/ts/product/1a/89/a8/9d418feb34b20596a1e8ead9a79f7aee.png
Laptop MSI Katana GF66 12UCK-804VN (i7-12650H 8GB 512GB GeForce RTX 3050 4GB 15.6' FHD 144Hz Win 11) Hàng chính hãng,27490000,Hangchinhhieu(TP.HCM),https://salt.tikicdn.com/cache/280x280/ts/product/17/98/34/55feab89479f054f26114ecfdccfaa85.jpg
Laptop Acer Nitro 5 AN515-58-52SP i5-12500H/8GB/512GB/Win11 (NH.QFHSV.001) - Hàng chính hãng,24000000,GIA DỤNG VIỆT,https://salt.tikicdn.com/cache/280x280/ts/product/15/48/8c/bb9425f72afe162223e40008424c96fc.jpg
Sạc dành cho Laptop Asus Gaming F15 FX506LI - 180W 20V 9A,889999,Đạt Khang Network,https://salt.tikicdn.com/cache/280x280/ts/product/77/e4/a0/b34d1fbd24bf56558e5a5137785ea613.jpg
Laptop Gigabyte G5 GE-51VN213SH (i5-12500H | 16GB | 512GB | GeForce RTX 3050 4GB | Win 11) Hàng chính hãng,25790000,Hangchinhhieu(TP.HCM),https://salt.tikicdn.com/cache/280x280/ts/product/5e/54/70/10c24be168da1f8d51d3ca53ac805441.jpg
Laptop HP Pavilion 15-eg2083TU 7C0W9PA (i5-1240P | 8GB | 512GB | Intel Iris Xe Graphics | 15.6' FHD | Win 11) Hàng chính hãng,17143000,HP Flagship Ben Computer Store,https://salt.tikicdn.com/cache/280x280/ts/product/79/a7/10/769565e488a207ee0862b67761d6b862.jpg
"Máy tính xách tay SingPC M16i5972 ( Intel Core i5-8259U, 4GB , SSD 256GB, 15.6 inch FHD, LAN, Wifi, Bluetooth, Free Dos) Hàng chính hãng",14200000,SingPC Official Store,https://salt.tikicdn.com/cache/280x280/ts/product/46/ab/f4/36a914e0363812a36ca6c7f7bbd7f254.jpg
Laptop HP Gaming VICTUS 16-e1104AX (7C0S9PA) (Ryzen7-6800H/8G/512GSSD/16.1FHD@144Hz/WL/BT/4C/4G_RTX 3050/LEDKB/W11SL/ĐEN) Hàng chính hãng,24990000,CIVIP Technology,https://salt.tikicdn.com/cache/280x280/ts/product/6c/52/30/30d21e738a339b8a3aa1fc78d4368d02.jpg
